actor_id,first_name,last_name
1,Justin,Roiland
2,Chris,Parnell
3,Spencer,Grammer
4,Sarah,Chalke
5,Jason,Ritter
6,Kristen,Schaal
7,Alex,Hirsch
8,Linda,Cardellini
9,Bryan,Cranston
10,Aaron,Paul
11,Anna,Gunn
12,Dean,Norris
13,Bob,Odenkirk
14,Jonathan,Banks
15,Rhea,Seehorn
16,Patrick,Fabian
17,Jason,Lee
18,Ethan,Suplee
19,Jaime,Pressly
20,Nadine,Velazquez
21,Daniel,Craig
22,Rami,Malek
23,Lashana,Lynch
24,Lea,Seydoux
25,Ryan,Reynolds
26,Jodie,Comer
27,Joe,Keery
28,aika,Waititi
29,Sam,Rockwell
30,Richard,Ayoade
31,Anthony,Ramos
32,Zazie,Beetz
33,Tom,Cruise
34,Val,Kilmer
35,Kelly,McGillis
36,Anthony,Edwards
37,Miles,Teller
38,Glen,Powell
39,Daisy Edgar,Jones
40,Taylor John,Smith
41,Harris,Dickinson
42,David,Strathairn
43,Roy,Schneider
44,Richard,Dreyfuss
45,Robert,Shaw
46,Lorraine,Gary
47,Bill,Skarsgard
48,Justin,Long
49,Georgina,Campbell
50,Zach,Creggor
51,Mia,Goth
52,David,Corensweet
53,Alistair,Sewell
54,Matthew,Sunderland
55,Tom,Holland
56,Tobey,Maguire
57,Andrew,Garfield
58,Marisa,Tomei
59,Madelyn,Cline
60,Kate,Hudson
61,Edward,Norton
62,Aaron-Taylor,Johnson
63,Brad,Pitt
64,Joey,King
65,Bad,Bunny
66,Stanley,Tucci
67,Gemma,Arterton
68,Ralph,Fiennes
69,Timothee,Chalamet
70,Rebecca,Ferguson
71,Zendaya,Coleman
72,Oscar,Isaac
73,Kenneth,Branagh
74,Armie,Hammer
75,Gal,Gadot
76,Annette,Bening
77,Sophia,Ali
78,Mark,Wahlberg
79,Tati,Gabrielle
80,Robert,Pattinson
81,Zoe,Kravitz
82,Paul,Dano
83,Colin,Farrell
84,Sam,Worthington
85,Zoe,Saldana
86,Sigourney,Weaver
87,Kate,Winslet
88,Antonio,Banderas
89,Salma,Hayek
90,Florence,Pugh
91,Harvey,Guillen
92,Jim,Carrey
93,Ben,Schwartz
94,Tika,Sumpter
95,James,Marsden
 ,,
