director_id,first_name,last_name
1,Vince,Gilligan
2,Greg,Garcia
3,Dan,Harmon
4,Alex,Hirsch
5,Harold,Ramis
6,Shaka,King
7,Lee Isaac,Chung
8,Carlos,Lopez Estrada
9,Florian,Zeller
10,Dominic,Cooke
11,Ilya,Naishuller
12,Adam,Wingard
13,Harou,Sotozaki
14,John,Krasinski
15,Jon M,Chu
16,Janicza,Bravo
17,Jaume,Collet-Serra
18,David,Lowery
19,James,Gunn
20,Shawn,Levy
21,Nia,DeCosta
22,James,Wan
23,Cary Joji,Fukunaga
24,Ridley,Scott
25,Denis,Villeneuve
26,Edgar,Wright
27,Wes,Anderson
28,Pablo,Larrain
29,Jason,Reitman
30,Byron,Howard
31,Jared,Bush
32,Kenneth,Branagh
33,Steven,Spielberg
34,Jon,Watts
35,Guillermo,Del Toro
36,Paul,Anderson
37,Matthew,Vaughn
38,Matt,Bettenelli-Olpin
39,Tyler,Gillett
40,Ruben,Fleischer
41,Matt,Reeves
42,Ti,West
43,Adam,Nee
44,Aaron,Nee
45,Jeff,Fowler
46,Robert,Eggers
47,Daniel,Scheinert
48,Daniel,Kwan
49,Pierre,Perifel
50,Tony,Scott
51,Joseph,Kosinski
52,Loren,Bouchard
53,Bernard,Derriman
54,Olivia,Newman
55,Jordan,Peele
56,Dean,Fleischer Camp
57,David,Leitch
58,Halina,Reijn
59,Zach,Creggor
60,Todd,Field
61,Martin,McDonagh
62,Rian,Johnson
63,Mark,Mylod
64,Tommy,Wirkola
65,James,Cameron
66,Joel,Crawford
