episode_id,series_id,episode_name,length,season_num,episode_num
1,1,Pilot,22,1,1
2,1,Lawnmower Dog,22,1,2
3,1,Anatomy Park,22,1,3
4,1,M. Night Shaym-Aliens!,22,1,4
5,1,Meeseeks and Destroy,22,1,5
6,1,Rick Potion #9,22,1,6
7,1,Raising Gazorpazorp,22,1,7
8,1,Rixty Minutes,22,1,8
9,1,Something Ricked This Way Comes,22,1,9
10,1,Close Rick-Counters of the Rick Kind,22,1,10
11,1,Ricksy Business,22,1,11
12,1,A Rickle in Time,22,2,12
13,1,Mortynight Run,22,2,13
14,1,Auto Erotic Assimilation,22,2,14
15,1,Total Rickall,22,2,15
16,1,Get Schwifty,22,2,16
17,1,The Ricks Must Be Crazy,22,2,17
18,1,Big Trouble in Little Sanchez,22,2,18
19,1,Interdimensional Cable 2: Tempting Fate,22,2,19
20,1,Look Who's Purging Now,22,2,20
21,1,The Wedding Squanchers,22,2,21
22,1,The Rickshank Rickdemption,22,3,22
23,1,Rickmancing the Stone,22,3,23
24,1,Pickle Rick,22,3,24
25,1,Vindicators 3: The Return of Worldender,22,3,25
26,1,The Whirly Dirly Conspiracy,22,3,26
27,1,Rest and Ricklaxation,22,3,27
28,1,The Ricklantis Mixup,22,3,28
29,1,Morty's Mind Blowers,22,3,29
30,1,The ABC's of Beth,22,3,30
31,1,The Rickchurian Mortydate,22,3,31
32,1,Edge of Tomorty: Rick Die Rickpeat,22,4,32
33,1,The Old Man and the Seat,22,4,33
34,1,One Crew Over the Crewcoo's Morty,22,4,34
35,1,Claw and Hoarder: Special Ricktim's Morty,22,4,35
36,1,Rattlestar Ricklactica,22,4,36
37,1,Never Ricking Morty,22,4,37
38,1,Promortyus,22,4,38
39,1,The Vat of Acid Episode,22,4,39
40,1,Childrick of Mort,22,4,40
41,1,Star Mort Rickturn of the Jerri,22,4,41
42,1,Mort Dinner Rick Andre,22,5,42
43,1,Mortyplicity,22,5,43
44,1,A Rickconvenient Mort,22,5,44
45,1,Rickdependence Spray,22,5,45
46,1,Amortycan Grickfitti,22,5,46
47,1,Rick & Morty's Thanksploitation Spectacular,22,5,47
48,1,Gotron Jerrysis Rickvangelion,22,5,48
49,1,Rickternal Friendshine of the Spotless Mort,22,5,49
50,1,Forgetting Sarick Mortshall,22,5,50
51,1,Rickmurai Jack,22,5,51
52,2,Tourist Trapped,22,1,1
53,2,The Legend of the Gobblewonker,22,1,2
54,2,Headhunters,22,1,3
55,2,The Hand That Rocks the Mabel,22,1,4
56,2,The Inconveniencing,22,1,5
57,2,Dipper vs. Manliness,22,1,6
58,2,Double Dipper,22,1,7
59,2,Irrational Treasure,22,1,8
60,2,The Time Traveler's Pig,22,1,9
61,2,Fight Fighters,22,1,10
62,2,Little Dipper,22,1,11
63,2,Summerween,22,1,12
64,2,Boss Mabel,22,1,13
65,2,Bottomless Pit!,22,1,14
66,2,The Deep End,22,1,15
67,2,Carpet Diem,22,1,16
68,2,Boyz Crazy,22,1,17
69,2,Land Before Swine,22,1,18
70,2,Dreamscaperers,22,1,19
71,2,Gideon Rises,22,1,20
72,2,Scary-oke,22,2,21
73,2,Into the Bunker,22,2,22
74,2,The Golf War,22,2,23
75,2,Sock Opera,22,2,24
76,2,Soos and the Real Girl,22,2,25
77,2,Little Gift Shop of Horrors,22,2,26
78,2,Society of the Blind Eye,22,2,27
79,2,Blendin's Game,22,2,28
80,2,The Love God,22,2,29
81,2,Northwest Mansion Mystery,22,2,30
82,2,Not What He Seems,22,2,31
83,2,A Tale of Two Stans,22,2,32
84,2,"Dungeons, Dungeons, and More Dungeons",22,2,33
85,2,The Stanchurian Candidate,22,2,34
86,2,The Last Mabelcorn,22,2,35
87,2,Roadside Attraction,22,2,36
88,2,Dipper and Mabel vs. the Future,22,2,37
89,2,Weirdmageddon Part 1,22,2,38
90,2,Weirdmageddon Part 2: Escape From Reality,22,2,39
91,2,Weirdmageddon Part 3: Take Back the Falls,22,2,40
92,2,Weirdmageddon Part 3: Somewhere in the Woods,22,2,41
93,3,Pilot,58,1,1
94,3,Cat's in the Bag...,48,1,2
95,3,...And the Bag's in the River,47,1,3
96,3,Cancer Man,48,1,4
97,3,Gray Matter,48,1,5
98,3,Crazy Handful of Nothin',48,1,6
99,3,A No-Rough-Stuff-Type Deal,48,1,7
100,3,Seven Thirty-Seven,47,2,8
101,3,Grilled,48,2,9
102,3,Bit by a Dead Bee,47,2,10
103,3,Down,47,2,11
104,3,Breakage,47,2,12
105,3,Peekaboo,47,2,13
106,3,Negro y Azul,48,2,14
107,3,Better Call Saul,48,2,15
108,3,4 Days Out,47,2,16
109,3,Over,47,2,17
110,3,Mandala,47,2,18
111,3,Phoenix,47,2,19
112,3,ABQ,47,2,20
113,3,No Mas,47,3,21
114,3,Caballo sin Nombre,47,3,22
115,3,I.F.T.,47,3,23
116,3,Green Light,47,3,24
117,3,Mas,47,3,25
118,3,Sunset,47,3,26
119,3,One Minute,47,3,27
120,3,I See You,47,3,28
121,3,Kafkaesque,47,3,29
122,3,Fly,47,3,30
123,3,Abiquiu,47,3,31
124,3,Half Measures,47,3,32
125,3,Full Measure,47,3,33
126,3,Box Cutter,47,4,34
127,3,Thirty-Eight Snub,47,4,35
128,3,Open House,47,4,36
129,3,Bullet Points,47,4,37
130,3,Shotgun,47,4,38
131,3,Cornered,47,4,39
132,3,Problem Dog,47,4,40
133,3,Hermanos,47,4,41
134,3,Bug,47,4,42
135,3,Salud,47,4,43
136,3,Crawl Space,47,4,44
137,3,End Times,47,4,45
138,3,Face Off,47,4,46
139,3,Live Free or Die,47,5,47
140,3,Madrigal,47,5,48
141,3,Hazard Pay,47,5,49
142,3,Fifty-One,47,5,50
143,3,Dead Freight,47,5,51
144,3,Buyout,47,5,52
145,3,Say My Name,47,5,53
146,3,Gliding Over All,47,5,54
147,3,Blood Money,47,5,55
148,3,Buried,47,5,56
149,3,Confessions,47,5,57
150,3,Rabid Dog,47,5,58
151,3,To'hajiilee,47,5,59
152,3,Ozymandias,47,5,60
153,3,Granite State,47,5,61
154,3,Felina,47,5,62
155,4,Uno,52,1,1
156,4,Mijo,45,1,2
157,4,Nacho,46,1,3
158,4,Hero,47,1,4
159,4,Alpine Shepherd Boy,46,1,5
160,4,Five-O,47,1,6
161,4,Bingo,47,1,7
162,4,Rico,46,1,8
163,4,Pimento,49,1,9
164,4,Marco,54,1,10
165,4,Switch,47,2,11
166,4,Cobbler,47,2,12
167,4,Amarillo,46,2,13
168,4,Gloves Off,46,2,14
169,4,Rebecca,46,2,15
170,4,Bali Ha'i,46,2,16
171,4,Inflatable,46,2,17
172,4,Fifi,46,2,18
173,4,Nailed,47,2,19
174,4,Klick,47,2,20
175,4,Mabel,47,3,21
176,4,Witness,47,3,22
177,4,Sunk Costs,47,3,23
178,4,Sabrosito,47,3,24
179,4,Chicanery,47,3,25
180,4,Off Brand,47,3,26
181,4,Expenses,47,3,27
182,4,Slip,47,3,28
183,4,Fall,47,3,29
184,4,Lantern,47,3,30
185,4,Smoke,47,4,31
186,4,Breathe,47,4,32
187,4,Something Beautiful,47,4,33
188,4,Talk,47,4,34
189,4,Quite a Ride,47,4,35
190,4,Pinata,47,4,36
191,4,Something stupid,47,4,37
192,4,Coushatta,47,4,38
193,4,Wiedersehen,47,4,39
194,4,Winner,47,4,40
195,4,Magic Man,47,5,41
196,4,50% Off,47,5,42
197,4,The guy for this,47,5,43
198,4,Namaste,47,5,44
199,4,Dedicado a Max,47,5,45
200,4,Wexler v. Goodman,47,5,46
201,4,JMM,47,5,47
202,4,Bagman,47,5,48
203,4,Bad Choice Road,47,5,49
204,4,Something Unforgivable,47,5,50
205,5,Pilot,22,1,1
206,5,Quit Smoking,22,1,2
207,5,Randy's Touch,22,1,3
208,5,Faked My Own Death,22,1,4
209,5,Teacher Earl,22,1,5
210,5,Broke Joy's Fancy Figurine,22,1,6
211,5,Stole Beer From a Golfer,22,1,7
212,5,Joy's Wedding,22,1,8
213,5,Cost Dad the Election,22,1,9
214,5,White Lie Christmas,22,1,10
215,5,Barn Burner,22,1,11
216,5,"O Karma, Where Art Thou?",22,1,12
217,5,Stole P's HD Cart,22,1,13
218,5,Monkeys in Space,22,1,14
219,5,Something to Live For,22,1,15
220,5,The Professor,22,1,16
221,5,Didn't Pay Taxes,22,1,17
222,5,Dad's Car,22,1,18
223,5,Y2K,22,1,19
224,5,Boogeyman,22,1,20
225,5,The Bounty Hunter,22,1,21
226,5,Stole a Badge,22,1,22
227,5,BB,22,1,23
228,5,Number One,22,1,24
229,5,Very Bad Things,22,2,25
230,5,Jump for Joy,22,2,26
231,5,Sticks & Stones,22,2,27
232,5,Larceny of a Kitty Cat,22,2,28
233,5,Van Hickey,22,2,29
234,5,Made a Lady Think I Was God,22,2,30
235,5,Mailbox,22,2,31
236,5,Robbed a Stoner Blind,22,2,32
237,5,Born a Gamblin' Man,22,2,33
238,5,"South of the Border, Part Uno",22,2,34
239,5,"South of the Border, Part Dos",22,2,35
240,5,Our 'Cops' Is On!,22,2,36
241,5,Buried Treasure,22,2,37
242,5,Kept a Guy Locked in a Truck,22,2,38
243,5,Foreign Exchange Student,22,2,39
244,5,B.L.O.W.,22,2,40
245,5,The Birthday Party,22,2,41
246,5,Guess Who's Coming Out of Joy,22,2,42
247,5,Harassed a Reporter,22,2,43
248,5,Two Balls Two Strikes,22,2,44
249,5,G.E.D.,22,2,45
250,5,Get a Real Job,22,2,46
