movie_id,title,release_year,length,rating
1,Groundhog Day,1993,101,PG
2,Judas and The Black Messiah,2021,126,R
3,Minari,2020,115,PG-13
4,Raya and The Last Dragon,2021,107,PG
5,The Father,2020,96,PG-13
6,The Courier,2020,112,PG-13
7,Nobody,2021,92,R
8,Godzilla Vs. Kong,2021,114,PG-13
9,Demon Slayer: Mugen Train,2020,117,R
10,A Quiet Place Part 2,2020,97,PG-13
11,In The Heights,2021,143,PG-13
12,Zola,2020,86,R
13,Jungle Cruise ,2021,127,PG-13
14,The Green Knight,2021,130,R
15,The Suicide Squad,2021,132,R
16,Free Guy,2021,115,PG-13
17,Candyman,2021,91,R
18,Malignant,2021,111,R
19,No Time To Die,2021,163,PG-13
20,The Last Duel,2021,153,R
21,Dune,2021,155,PG-13
22,Last Night In Soho,2021,117,R
23,The French Dispatch,2021,108,R
24,Spencer,2021,117,R
25,Ghostbusters: Afterlife,2021,124,PG-13
26,Encanto,2021,102,PG
27,Belfast,2021,98,PG-13
28,West Side Story,2021,157,PG-13
29,Spider-Man: No Way Home,2021,148,PG-13
30,Nightmare Alley,2021,150,R
31,Licorice Pizza,2021,133,R
32,The King's Man,2021,131,R
33,Scream,2022,114,R
34,Death On The Nile,2022,127,PG-13
35,Uncharted,2022,116,PG-13
36,The Batman,2022,177,PG-13
37,X,2022,106,R
38,The Lost City,2022,112,PG-13
39,Sonic The Hedgehog 2,2022,123,PG
40,The Northman,2022,137,R
41,Everything Everywhere All At Once,2022,140,R
42,The Bad Guys,2022,100,PG
43,Top Gun,1986,110,PG
44,Top Gun: Maverick,2022,131,PG-13
45,The Bob's Burgers Movie,2022,102,PG-13
46,Where The Crawdads Sing,2022,126,PG-13
47,Nope,2022,130,R
48,Marcel The Shell With Shoes On,2021,90,PG
49,Bullet Train,2022,126,R
50,Bodies Bodies Bodies,2022,94,R
51,Jaws,1975,124,PG
52,Barbarian,2022,103,R
53,Pearl,2022,102,R
54,Tar,2022,158,R
55,The Banshees of Inisherin,2022,114,R
56,Glass Onion: A Knives Out Mystery,2022,140,PG-13
57,The Menu,2022,107,R
58,The Fabelmans,2022,151,PG-13
59,Violent Night,2022,112,R
60,Avatar: The Way of Water,2022,192,PG-13
61,Puss In Boots: The Last Wish,2022,103,PG
