studio_id,studio_name
1,AMC
2,20th Century Fox
3,Adult Swim
4,Disney Channel
5,Columbia Pictures
6,Warner Bros Pictures
7,Plan B Entertainment
8,Walt Disney Pictures
9,Sony Pictures Classics
10,Lionsgate
11,Roadside Attractions
12,87North Productions
13,Legendary Pictures
14,TOHO Animation
15,Paramount
16,5000 Broadway Productions
17,Killer Films
18,A24
19,DC Films
20,Universal Pictures
21,Metro Goldwyn Pictures
22,New Line Cinema
23,Metro Goldwyn Mayer
24,Focus Features
25,Working Title Films
26,Fox Searchlight Pictures
27,FilmNation Entertainment
28,Marvel Studios
29,Playstation Productions
30,Sega
31,New Regency Pictures
32,Dreamworks
33,Skydance
34,3000 Pictures
35,Hello Sunshine Productions
36,Cinereach
37,Strongman
38,Hammerstone Studios
39,T-Street Productions
40,Amblin Entertainment
41,Lightstorm Entertainment
